property_type,society,sector,price,price_per_sqft,area,areaWithType,bedRoom,bathroom,balcony,floorNum,facing,agePossession,super_built_up_area,built_up_area,carpet_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,area_room_ratio
house,ireo victory valley,sector 67,8.0,22222.22,3600.0,Plot area 400(334.45 sq.m.),6,7,3+,51.0,North-East,Moderately Old,,400.0,,1,1,0,1,0,1,49,600.0
house,independent,sector 105,0.38,8444.44,450.0,Carpet area: 50 (4.65 sq.m.),2,2,2,1.0,,Undefined,,,50.0,0,0,0,0,0,0,0,225.0
flat,sidhartha ncr one,sector 95,0.56,4105.57,1364.0,Built Up area: 1364 (126.72 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,2,10.0,,Undefined,,1364.0,1200.0,0,0,0,0,0,0,0,682.0
flat,mapsko royale ville,sector 82,1.12,8000.0,1400.0,Super Built up area 1790(166.3 sq.m.)Built Up area: 1500 sq.ft. (139.35 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,4,2,6.0,North-West,Relatively New,1790.0,1500.0,1400.0,0,1,0,1,0,1,174,466.6666666666667
flat,eldeco accolade,sohna road,0.73,5752.56,1269.0,Super Built up area 1269(117.89 sq.m.),2,2,3,9.0,North-East,Relatively New,1269.0,,,0,0,0,1,0,0,103,634.5
flat,ats tourmaline,sector 109,1.65,7674.42,2150.0,Super Built up area 2150(199.74 sq.m.),3,3,3+,16.0,North-East,Relatively New,2150.0,,,0,1,0,0,0,1,49,716.6666666666666
flat,m3m merlin,sector 67,3.39,14376.59,2358.0,Super Built up area 2358(219.07 sq.m.)Built Up area: 2100 sq.ft. (195.1 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,4,3,14.0,East,Relatively New,2358.0,2100.0,2000.0,0,1,0,0,0,1,26,786.0
flat,experion windchants,sector 112,5.49,11584.72,4739.0,Super Built up area 4739(440.27 sq.m.)Built Up area: 3655.35 sq.ft. (339.59 sq.m.),4,5,3+,5.0,South,Relatively New,4739.0,3655.35,,0,1,0,0,0,1,168,1184.75
flat,vatika gurgaon,sector 83,1.18,6801.15,1735.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1500 sq.ft. (139.35 sq.m.),3,3,2,14.0,North,Relatively New,1735.0,,1500.0,0,0,0,0,0,0,26,578.3333333333334
flat,m3m golfestate,sector 65,6.1,18138.57,3363.0,Super Built up area 3363(312.43 sq.m.)Carpet area: 2710 sq.ft. (251.77 sq.m.),3,3,3,19.0,North-East,Moderately Old,3363.0,,2710.0,1,1,0,0,0,1,174,1121.0
flat,gls arawali homes,sohna road,0.27,4599.66,587.0,Super Built up area 576(53.51 sq.m.),2,2,2,5.0,,New Property,576.0,,,0,0,0,0,0,0,42,293.5
flat,pyramid urban,sector 67a,0.53,8967.85,591.0,Carpet area: 591 (54.91 sq.m.),2,2,1,6.0,West,Relatively New,,,591.0,0,0,0,0,1,1,49,295.5
flat,signature global park 4,sector 36,0.82,7585.57,1081.0,Carpet area: 1081 (100.43 sq.m.),3,2,3,2.0,,New Property,,,1081.0,0,0,0,0,0,0,24,360.3333333333333
flat,tarc maceo,sector 91,0.89,6339.03,1404.0,Super Built up area 1404(130.44 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3+,9.0,East,Relatively New,1404.0,,1200.0,0,0,0,0,1,1,13,702.0
flat,dlf the icon,sector 43,5.25,20388.35,2575.0,Super Built up area 2575(239.23 sq.m.)Built Up area: 2570 sq.ft. (238.76 sq.m.)Carpet area: 2560 sq.ft. (237.83 sq.m.),4,4,3,9.0,North,Old Property,2575.0,2570.0,2560.0,0,1,0,1,1,0,135,643.75
flat,m3m merlin,sector 67,3.5,14583.33,2400.0,Super Built up area 2400(222.97 sq.m.)Carpet area: 2050 sq.ft. (190.45 sq.m.),3,4,3,17.0,South-East,Relatively New,2400.0,,2050.0,0,1,1,0,0,1,167,800.0
flat,dlf regal gardens,sector 90,1.25,10416.67,1200.0,Super Built up area 1702(158.12 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),3,3,3,18.0,North,Moderately Old,1702.0,,1200.0,0,1,0,0,0,0,100,400.0
flat,micasa sec 68,sohna road road,1.5,12244.9,1225.0,Carpet area: 1225 (113.81 sq.m.),2,2,3,11.0,,New Property,,,1225.0,0,0,0,0,0,0,44,612.5
flat,unitech uniworld gardens,sector 47,2.15,10306.81,2086.0,Super Built up area 2086(193.8 sq.m.)Built Up area: 1950 sq.ft. (181.16 sq.m.)Carpet area: 1750 sq.ft. (162.58 sq.m.),3,4,3+,10.0,East,Moderately Old,2086.0,1950.0,1750.0,0,1,0,0,0,0,49,695.3333333333334
flat,orchid petals,sector 49,2.55,12318.84,2070.0,Super Built up area 2070(192.31 sq.m.)Built Up area: 2060 sq.ft. (191.38 sq.m.)Carpet area: 1760 sq.ft. (163.51 sq.m.),3,4,3,8.0,East,Relatively New,2070.0,2060.0,1760.0,1,0,0,0,0,1,49,690.0
flat,orris aster court premier,sector 85,1.73,6757.81,2560.0,Super Built up area 2560(237.83 sq.m.)Built Up area: 2017 sq.ft. (187.39 sq.m.),4,5,3+,8.0,East,Relatively New,2560.0,2017.0,,0,1,0,0,0,0,16,640.0
flat,mvn athens,sohna road,0.24,7058.82,340.0,Carpet area: 340.09 (31.6 sq.m.),1,1,1,12.0,West,Relatively New,,,340.13924000000003,0,0,0,0,0,0,66,340.0
flat,awho shanti vihar,sector 95,0.8,8888.89,900.0,Super Built up area 900(83.61 sq.m.)Carpet area: 550 sq.ft. (51.1 sq.m.),2,2,3,9.0,East,New Property,900.0,,550.0,1,0,0,0,0,0,67,450.0
flat,m3m golfestate,sector 65,7.0,18181.82,3850.0,Carpet area: 3850 (357.68 sq.m.),3,3,2,12.0,North,Moderately Old,,,3850.0,0,0,1,0,0,0,60,1283.3333333333333
flat,piedmont taksila heights,sector 37c,0.9,5855.56,1537.0,Built Up area: 1537 (142.79 sq.m.),3,3,3,9.0,South-West,Moderately Old,,1537.0,,0,0,0,0,0,1,94,512.3333333333334
house,ansal sushant lok plots,sector 43,5.8,29974.16,1935.0,Plot area 215(179.77 sq.m.),6,6,3,2.0,South-West,Relatively New,,215.0,,0,1,0,0,1,1,49,322.5
house,eros rosewood city,sector 49,3.75,22045.86,1701.0,Plot area 189(158.03 sq.m.),3,3,1,2.0,South,Old Property,,189.0,,0,0,0,1,0,1,6,567.0
flat,emaar mgf palm hills,sector 77,1.55,7948.72,1950.0,Super Built up area 1950(181.16 sq.m.)Built Up area: 1800 sq.ft. (167.23 sq.m.)Carpet area: 1702 sq.ft. (158.12 sq.m.),4,4,3+,2.0,North-East,Relatively New,1950.0,1800.0,1702.0,1,1,0,0,0,2,49,487.5
flat,adani m2k oyster grande,sector 102,2.61,10046.19,2598.0,Super Built up area 2598(241.36 sq.m.)Built Up area: 2200 sq.ft. (204.39 sq.m.)Carpet area: 2000 sq.ft. (185.81 sq.m.),3,3,3,14.0,North-East,Relatively New,2598.0,2200.0,2000.0,1,1,0,0,0,0,21,866.0
flat,orris aster court premier,sector 85,1.45,6839.62,2120.0,Super Built up area 2120(196.95 sq.m.)Built Up area: 1616 sq.ft. (150.13 sq.m.),3,4,2,3.0,North,New Property,2120.0,1616.0,,0,1,0,0,0,0,16,706.6666666666666
flat,ss the leaf,sector 85,1.04,5973.58,1741.0,Super Built up area 1741(161.74 sq.m.),2,3,3+,4.0,West,Relatively New,1741.0,,,0,0,1,0,0,0,113,870.5
house,dlf city plots,sector 26,18.0,39840.64,4518.0,Plot area 502(419.74 sq.m.),6,6,2,3.0,North,Old Property,,502.0,,0,1,0,1,1,1,49,753.0
flat,the close south,sector 50,3.1,12444.8,2491.0,Super Built up area 2491(231.42 sq.m.)Built Up area: 2450 sq.ft. (227.61 sq.m.)Carpet area: 2250 sq.ft. (209.03 sq.m.),3,4,3+,4.0,North-East,Moderately Old,2491.0,2450.0,2250.0,0,1,0,0,0,1,165,830.3333333333334
house,international city by sobha phase 2,sector 109,9.5,26388.89,3600.0,Plot area 400(334.45 sq.m.),7,6,3,3.0,West,Relatively New,,400.0,,1,1,0,1,0,0,138,514.2857142857143
flat,supertech araville,sector 79,0.78,6023.17,1295.0,Super Built up area 1295(120.31 sq.m.),2,2,3+,17.0,,Relatively New,1295.0,,,0,0,0,0,0,0,24,647.5
flat,ss the leaf,sector 85,1.3,7779.77,1671.0,Super Built up area 1671(155.24 sq.m.)Carpet area: 1169 sq.ft. (108.6 sq.m.),2,2,3+,16.0,East,Relatively New,1671.0,,1169.0,0,0,1,0,0,0,148,835.5
flat,lotus homz,sector 111,0.36,8888.89,405.0,Carpet area: 405 (37.63 sq.m.),1,1,1,10.0,,Relatively New,,,405.0,0,0,0,0,0,0,44,405.0
flat,m3m antalya hills,sector 79,1.15,7496.74,1534.0,Super Built up area 1534(142.51 sq.m.)Built Up area: 1200 sq.ft. (111.48 sq.m.)Carpet area: 1103 sq.ft. (102.47 sq.m.),3,3,3+,1.0,,Under Construction,1534.0,1200.0,1103.0,1,0,0,0,0,0,51,511.3333333333333
flat,eldeco accolade,sohna road,1.35,6136.36,2200.0,Carpet area: 2200 (204.39 sq.m.),3,3,3,2.0,,New Property,,,2200.0,0,1,0,0,0,0,72,733.3333333333334
flat,ireo the grand arch,sector 58,2.2,16000.0,1375.0,Carpet area: 1375 (127.74 sq.m.),2,2,1,5.0,East,Relatively New,,,1375.0,0,0,0,1,0,1,49,687.5
flat,godrej aria,sector 79,0.95,6551.72,1450.0,Carpet area: 1450 (134.71 sq.m.),2,2,3,5.0,East,Relatively New,,,1450.0,0,0,0,0,0,1,174,725.0
flat,hsiidc sidco shivalik apartments,manesar,0.6,4000.0,1500.0,Super Built up area 1500(139.35 sq.m.)Carpet area: 1077 sq.ft. (100.06 sq.m.),3,2,2,5.0,South-East,Moderately Old,1500.0,,1077.0,0,0,0,0,0,0,80,500.0
house,eldeco mansionz,sector 48,4.95,20599.25,2403.0,Plot area 267(223.25 sq.m.),7,7,3+,2.0,South,Old Property,,267.0,,1,1,1,1,0,1,145,343.2857142857143
flat,bestech park view city,sector 48,1.76,9909.91,1776.0,Super Built up area 1776(165 sq.m.)Built Up area: 1576 sq.ft. (146.42 sq.m.)Carpet area: 1476 sq.ft. (137.12 sq.m.),3,3,3+,9.0,South,Moderately Old,1776.0,1576.0,1476.0,0,1,0,1,0,1,158,592.0
flat,emaar mgf emerald floors premier,sector 65,2.5,15151.52,1650.0,Super Built up area 1650(153.29 sq.m.),3,3,3,3.0,South-West,Relatively New,1650.0,,,1,1,0,0,0,0,15,550.0
flat,vipul lavanya,sector 81,0.6,6666.67,900.0,Super Built up area 900(83.61 sq.m.),2,2,1,0.0,,Under Construction,900.0,,,0,0,0,0,0,0,0,450.0
flat,mahindra luminare,sector 59,5.5,18181.82,3025.0,Super Built up area 3025(281.03 sq.m.),3,3,1,26.0,,Under Construction,3025.0,,,0,1,0,0,0,0,24,1008.3333333333334
flat,maruti vihar colony,sector 28,0.95,8886.81,1069.0,Carpet area: 1069 (99.31 sq.m.),2,1,1,1.0,,Old Property,,,1069.0,0,0,0,0,0,0,59,534.5
flat,landmark the residency,sector 103,0.9,6666.67,1350.0,Super Built up area 1350(125.42 sq.m.),2,2,2,1.0,South-West,Relatively New,1350.0,,,0,0,0,0,0,0,44,675.0
flat,m3m sierra 68,sector 68,1.2,9002.25,1333.0,Super Built up area 1250(116.13 sq.m.)Carpet area: 750 sq.ft. (69.68 sq.m.),2,2,3,1.0,North,Relatively New,1250.0,,750.0,0,0,0,0,0,2,76,666.5
house,aindependentt raj estates,sector 63a,8.5,27139.21,3132.0,Plot area 348(290.97 sq.m.),6,6,3+,3.0,East,Under Construction,,348.0,,0,0,1,1,0,0,29,522.0
flat,dlf new town heights,sector 91,1.65,6346.15,2600.0,Super Built up area 2364(219.62 sq.m.),4,4,3+,11.0,West,Moderately Old,2364.0,,,0,1,0,0,0,0,72,650.0
flat,godrej icon,sector 88a,1.62,10018.55,1617.0,Super Built up area 1617(150.22 sq.m.),3,2,3+,10.0,East,Relatively New,1617.0,,,1,0,0,0,0,2,49,539.0
flat,ramprastha primera,sector 37d,1.1,6111.11,1800.0,Super Built up area 1800(167.23 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,3,3,6.0,North-West,Relatively New,1800.0,1700.0,1600.0,0,0,0,0,0,0,149,600.0
flat,shri balaji apartment,sector 12,0.35,4036.91,867.0,Super Built up area 867(80.55 sq.m.)Built Up area: 737 sq.ft. (68.47 sq.m.)Carpet area: 650 sq.ft. (60.39 sq.m.),2,2,1,1.0,North,Moderately Old,867.0,737.0,650.0,0,0,0,0,0,0,23,433.5
flat,vatika gurgaon,sector 83,1.25,6313.13,1980.0,Super Built up area 1980(183.95 sq.m.),3,3,2,2.0,West,Relatively New,1980.0,,,0,1,0,0,0,0,119,660.0
flat,ireo the corridors,sector 67a,2.0,11428.57,1750.0,Super Built up area 1750(162.58 sq.m.),3,3,3,12.0,,New Property,1750.0,,,1,0,0,0,0,0,38,583.3333333333334
flat,tulip violet,sector 69,1.7,8457.71,2010.0,Super Built up area 2010(186.74 sq.m.)Carpet area: 1610 sq.ft. (149.57 sq.m.),4,4,2,10.0,South-West,Relatively New,2010.0,,1610.0,1,1,1,1,0,0,174,502.5
house,independent,sector 26,16.0,35555.56,4500.0,Plot area 500(418.06 sq.m.),5,6,3,2.0,North-East,Old Property,,500.0,,0,0,0,0,0,0,0,900.0
flat,dlf the belaire,sector 54,10.0,24557.96,4072.0,Super Built up area 4072(378.3 sq.m.)Built Up area: 3000 sq.ft. (278.71 sq.m.)Carpet area: 2800 sq.ft. (260.13 sq.m.),4,5,3+,17.0,North,Moderately Old,4072.0,3000.0,2800.0,0,1,0,0,0,2,167,1018.0
flat,smart world gems,sector 89,1.13,8502.63,1329.0,Carpet area: 1326 (123.19 sq.m.),3,3,2,4.0,,Under Construction,,,1326.0,1,0,0,0,0,0,115,443.0
flat,ss the leaf,sector 85,1.84,7641.2,2408.0,Super Built up area 2408(223.71 sq.m.)Carpet area: 1685 sq.ft. (156.54 sq.m.),3,4,3,8.0,South-East,Relatively New,2408.0,,1685.0,0,0,0,1,0,0,158,802.6666666666666
flat,signature global solera,sector 107,0.51,7906.98,645.0,Carpet area: 645 (59.92 sq.m.),3,2,2,9.0,South,Relatively New,,,645.0,0,0,0,0,1,0,15,215.0
flat,tulip violet,sector 69,2.0,9583.13,2087.0,Super Built up area 2087(193.89 sq.m.),4,4,2,0.0,South-East,Relatively New,2087.0,,,0,0,0,0,0,0,157,521.75
flat,dlf the skycourt,sector 86,1.5,7894.74,1900.0,Super Built up area 1900(176.52 sq.m.),3,3,1,16.0,East,Relatively New,1900.0,,,0,0,0,0,1,0,49,633.3333333333334
flat,sare homes,sector 92,0.8,5252.79,1523.0,Carpet area: 1523 (141.49 sq.m.),3,3,3,7.0,North-West,Relatively New,,,1523.0,1,0,0,0,0,1,80,507.6666666666667
house,independent,sector 28,0.7,8101.85,864.0,Plot area 864(80.27 sq.m.),2,2,0,2.0,North,Old Property,,864.0,,0,0,0,0,0,0,7,432.0
flat,m3m heights,sector 65,2.5,13601.74,1838.0,Super Built up area 1828(169.83 sq.m.),3,3,3,19.0,,Under Construction,1828.0,,,0,0,0,0,0,0,48,612.6666666666666
house,independent,sector 2,2.95,15989.16,1845.0,Plot area 205(171.41 sq.m.),4,4,3+,2.0,North-West,Old Property,,205.0,,0,0,0,0,0,0,27,461.25
flat,suposhaa smartworld orchard,sector 61,2.25,14525.5,1549.0,Carpet area: 1549 (143.91 sq.m.),3,3,2,3.0,,Under Construction,,,1549.0,0,0,0,0,0,0,0,516.3333333333334
flat,emaar mgf the enclave,sector 66,1.9,10555.56,1800.0,Super Built up area 1920(178.37 sq.m.)Built Up area: 1850 sq.ft. (171.87 sq.m.)Carpet area: 1800 sq.ft. (167.23 sq.m.),3,4,2,8.0,North-East,Relatively New,1920.0,1850.0,1800.0,0,1,0,0,0,1,174,600.0
house,vatika signature villas,sector 82,4.7,21759.26,2160.0,Plot area 240(200.67 sq.m.),3,3,3+,3.0,,New Property,,240.0,,0,1,0,0,0,0,33,720.0
flat,tarc maceo,sector 91,0.96,5411.5,1774.0,Super Built up area 1404(130.44 sq.m.),2,2,3+,8.0,East,Moderately Old,1404.0,,,0,0,0,0,0,0,85,887.0
flat,puri diplomatic greens,sector 111,2.65,13589.74,1950.0,Super Built up area 2215(205.78 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,4,2,7.0,West,Relatively New,2215.0,,1950.0,0,1,0,0,0,1,159,650.0
house,sector 14 rwa,sector 14,6.5,26000.0,2500.0,Plot area 2500(232.26 sq.m.),5,5,0,4.0,,Moderately Old,,2500.0,,0,0,0,0,0,0,0,500.0
flat,vatika city homes,sector 83,1.0,5747.13,1740.0,Super Built up area 1740(161.65 sq.m.),3,3,2,2.0,South-East,Relatively New,1740.0,,,0,0,1,0,0,1,174,580.0
flat,signature global city 92,sector 92,0.78,7722.77,1010.0,Super Built up area 1010(93.83 sq.m.)Carpet area: 700 sq.ft. (65.03 sq.m.),2,2,3,2.0,,Under Construction,1010.0,,700.0,0,0,0,0,1,0,24,505.0
flat,tulip violet,sector 69,1.38,8972.69,1538.0,Carpet area: 1538 (142.88 sq.m.),3,3,1,12.0,West,Relatively New,,,1538.0,0,0,0,0,0,0,174,512.6666666666666
flat,aipl club residences,sector 70a,1.27,9776.75,1299.0,Carpet area: 1304 (121.15 sq.m.),2,2,3+,24.0,North-West,Relatively New,,,1304.0,0,0,0,0,1,1,113,649.5
flat,m3m merlin,sector 67,3.4,14419.0,2358.0,Super Built up area 2358(219.07 sq.m.)Carpet area: 1900 sq.ft. (176.52 sq.m.),3,4,3,15.0,South,Relatively New,2358.0,,1900.0,0,1,0,0,0,1,110,786.0
house,dlf gardencity enclave,sector 93,1.3,11284.72,1152.0,Plot area 1152(107.02 sq.m.),3,2,1,3.0,,Relatively New,,1152.0,,0,0,0,0,0,0,50,384.0
flat,la vida by tata housing,sector 113,1.65,10449.65,1579.0,Super Built up area 1579(146.69 sq.m.)Built Up area: 1420 sq.ft. (131.92 sq.m.)Carpet area: 1220 sq.ft. (113.34 sq.m.),3,2,2,3.0,North-East,Relatively New,1579.0,1420.0,1220.0,0,0,0,0,0,0,49,526.3333333333334
flat,ats triumph,sector 104,2.63,9563.64,2750.0,Super Built up area 3150(292.64 sq.m.)Carpet area: 2750 sq.ft. (255.48 sq.m.),4,4,3+,21.0,North,Relatively New,3150.0,,2750.0,0,1,0,0,0,1,161,687.5
flat,dlf regal gardens,sector 90,1.25,8116.88,1540.0,Super Built up area 1702(158.12 sq.m.)Built Up area: 1640 sq.ft. (152.36 sq.m.)Carpet area: 1540 sq.ft. (143.07 sq.m.),3,3,3,8.0,South-East,Relatively New,1702.0,1640.0,1540.0,0,0,0,1,0,0,158,513.3333333333334
flat,bptp terra,sector 37d,1.98,9036.97,2191.0,Super Built up area 2191(203.55 sq.m.),3,3,3+,12.0,North-East,New Property,2191.0,,,1,0,0,0,0,1,49,730.3333333333334
flat,signature the serenas,sohna road,0.45,8474.58,531.0,Carpet area: 531 (49.33 sq.m.),2,2,1,10.0,,New Property,,,531.0,0,0,0,0,0,0,23,265.5
house,independent,sector 9,0.6,10752.69,558.0,Plot area 62(51.84 sq.m.),3,3,1,2.0,,Relatively New,,62.0,,0,0,0,0,0,0,0,186.0
flat,shree vardhman victoria,sector 70,1.66,14248.93,1165.0,Super Built up area 1950(181.16 sq.m.)Carpet area: 1161 sq.ft. (107.86 sq.m.),3,5,3,8.0,North,Relatively New,1950.0,,1161.0,0,1,0,0,0,0,108,388.3333333333333
flat,prime habitat,sector 99a,0.27,6053.81,446.0,Carpet area: 448 (41.62 sq.m.),2,2,1,10.0,South,Relatively New,,,448.0,0,0,0,0,0,0,67,223.0
flat,gls arawali homes,sohna road,0.26,4513.89,576.0,Carpet area: 576 (53.51 sq.m.),2,2,2,5.0,East,New Property,,,576.0,0,0,0,0,0,0,78,288.0
flat,dlf the primus,sector 82a,1.85,10176.02,1818.0,Super Built up area 1818(168.9 sq.m.)Carpet area: 1538 sq.ft. (142.88 sq.m.),3,3,3,15.0,East,Moderately Old,1818.0,,1538.0,0,0,0,0,1,0,38,606.0
flat,bestech park view city,sector 48,1.8,10250.57,1756.0,Carpet area: 1756 (163.14 sq.m.),3,4,3,3.0,North-West,Moderately Old,,,1756.0,1,0,0,0,0,1,76,585.3333333333334
flat,shree vardhman victoria,sector 70,1.6,8205.13,1950.0,Carpet area: 1950 (181.16 sq.m.),3,5,3,6.0,West,Relatively New,,,1950.0,0,1,0,0,0,0,174,650.0
house,independent,sector 43,27.5,24366.47,11286.0,Plot area 1254(1048.5 sq.m.),6,7,3+,3.0,North-East,Relatively New,,1254.0,,1,1,0,1,1,1,42,1881.0
flat,chd avenue,sector 71,1.1,6790.12,1620.0,Super Built up area 1620(150.5 sq.m.),3,3,3,11.0,,Relatively New,1620.0,,,0,0,0,0,1,0,72,540.0
flat,ats kocoon,sector 109,2.95,10350.88,2850.0,Built Up area: 3150 (292.64 sq.m.)Carpet area: 2850 sq.ft. (264.77 sq.m.),4,4,3+,7.0,South-East,Relatively New,,3150.0,2850.0,0,1,1,0,0,1,158,712.5
flat,sobha city,sector 108,3.35,13267.33,2525.0,Super Built up area 2072.9(192.58 sq.m.),3,4,2,19.0,,New Property,2072.9,,,0,0,0,0,0,0,102,841.6666666666666
flat,alpha corp gurgaonone,sector 84,1.5,7641.37,1963.0,Super Built up area 1963(182.37 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,20.0,North-West,Relatively New,1963.0,,1700.0,0,1,0,0,0,1,37,654.3333333333334
flat,signature the roselia,sector 95,0.45,7908.61,569.0,Carpet area: 569 (52.86 sq.m.),2,2,2,2.0,East,New Property,,,569.0,0,0,0,0,0,1,31,284.5
flat,hcbs sports ville,sohna road,0.2,4219.41,474.0,Built Up area: 473.99 (44.04 sq.m.),1,1,1,3.0,East,New Property,,474.042156,,0,0,0,0,0,0,71,474.0
flat,ramprastha the edge towers,sector 37d,0.8,5797.1,1380.0,Super Built up area 1380(128.21 sq.m.)Built Up area: 1300 sq.ft. (120.77 sq.m.)Carpet area: 1200 sq.ft. (111.48 sq.m.),2,2,3,2.0,North-East,Relatively New,1380.0,1300.0,1200.0,0,0,0,0,0,0,78,690.0
flat,dlf regency park,sector 28,2.35,13224.54,1777.0,Super Built up area 1777(165.09 sq.m.)Built Up area: 1700 sq.ft. (157.94 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3,8.0,South-East,Old Property,1777.0,1700.0,1600.0,0,1,0,0,0,1,109,592.3333333333334
flat,vatika india next,sector 82,0.8,6425.7,1245.0,Carpet area: 1245 (115.66 sq.m.),2,2,3,9.0,,Undefined,,,1245.0,0,0,0,0,0,0,0,622.5
flat,m3m merlin,sector 67,2.65,12945.77,2047.0,Super Built up area 2047(190.17 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1700 sq.ft. (157.94 sq.m.),3,3,3,0.0,North-East,Relatively New,2047.0,1900.0,1700.0,0,0,0,0,1,1,174,682.3333333333334
flat,puri diplomatic greens,sector 111,5.25,11666.67,4500.0,Super Built up area 4500(418.06 sq.m.),4,6,3+,7.0,East,Relatively New,4500.0,,,0,1,0,0,0,1,134,1125.0
house,independent,sector 23,1.2,6230.53,1926.0,Plot area 214(178.93 sq.m.)Built Up area: 1500 sq.yards (1254.19 sq.m.),3,2,2,3.0,,New Property,,1500.0,,0,0,0,0,0,1,79,642.0
flat,bestech park view grand spa,sector 81,2.3,8646.62,2660.0,Super Built up area 2660(247.12 sq.m.)Built Up area: 2280 sq.ft. (211.82 sq.m.)Carpet area: 1950 sq.ft. (181.16 sq.m.),3,4,3+,7.0,East,Relatively New,2660.0,2280.0,1950.0,0,1,0,0,0,1,49,886.6666666666666
flat,m3m soulitude,sector 89,1.42,9978.92,1423.0,Carpet area: 1423 (132.2 sq.m.),3,3,2,3.0,,New Property,,,1423.0,0,0,0,0,0,0,15,474.3333333333333
flat,gls arawali homes,sohna road,0.3,5291.01,567.0,Super Built up area 567(52.68 sq.m.)Carpet area: 467 sq.ft. (43.39 sq.m.),2,2,2,10.0,,Relatively New,567.0,,467.0,0,0,0,0,0,0,42,283.5
house,independent,sector 57,4.7,21759.26,2160.0,Plot area 240(200.67 sq.m.),3,3,2,2.0,North,Old Property,,240.0,,0,1,0,0,1,0,43,720.0
house,independent,sector 14,7.5,16600.27,4518.0,Plot area 502(419.74 sq.m.),3,3,2,1.0,West,Old Property,,502.0,,1,1,0,1,0,1,27,1506.0
flat,dlf the skycourt,sector 86,1.55,8031.09,1930.0,Super Built up area 1930(179.3 sq.m.)Built Up area: 1900 sq.ft. (176.52 sq.m.)Carpet area: 1350 sq.ft. (125.42 sq.m.),3,3,1,12.0,North-East,Relatively New,1930.0,1900.0,1350.0,0,0,0,1,0,1,153,643.3333333333334
flat,sbtl caladium,sector 109,1.6,6286.84,2545.0,Super Built up area 2545(236.44 sq.m.),3,3,3,9.0,North,Relatively New,2545.0,,,0,1,0,0,0,0,75,848.3333333333334
flat,breez global hill view,sohna road,0.3,5405.41,555.0,Super Built up area 655(60.85 sq.m.)Carpet area: 555 sq.ft. (51.56 sq.m.),2,2,2,6.0,North-East,New Property,655.0,,555.0,0,0,0,0,0,0,109,277.5
flat,dlf the ultima,sector 81,2.3,14375.0,1600.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1600 sq.ft. (148.64 sq.m.),3,4,3+,18.0,North-East,Relatively New,2132.0,,1600.0,0,1,0,0,0,2,174,533.3333333333334
flat,m3m merlin,sector 67,2.8,13678.55,2047.0,Super Built up area 2047(190.17 sq.m.)Carpet area: 1880 sq.ft. (174.66 sq.m.),3,3,3,5.0,North-East,Moderately Old,2047.0,,1880.0,0,1,0,0,0,2,26,682.3333333333334
house,independent,sector 46,2.2,24202.42,909.0,Plot area 101(84.45 sq.m.),3,3,2,3.0,North-West,Old Property,,101.0,,0,0,1,0,0,1,56,303.0
flat,imperia elvedor,sector 37c,0.55,8221.23,669.0,Built Up area: 669 (62.15 sq.m.),1,1,0,5.0,,Undefined,,669.0,,0,0,0,0,0,0,0,669.0
flat,dlf the ultima,sector 81,2.21,10365.85,2132.0,Super Built up area 2132(198.07 sq.m.)Carpet area: 1650 sq.ft. (153.29 sq.m.),3,3,3+,3.0,South,Relatively New,2132.0,,1650.0,0,1,0,0,0,2,149,710.6666666666666
flat,paras dews,sector 106,1.5,6369.43,2355.0,Super Built up area 2355(218.79 sq.m.)Built Up area: 1535 sq.ft. (142.61 sq.m.)Carpet area: 1403 sq.ft. (130.34 sq.m.),4,6,3+,11.0,North-West,Relatively New,2355.0,1535.0,1403.0,0,1,0,0,0,0,174,588.75
flat,godrej nature plus,sector 33,1.2,13363.03,898.0,Carpet area: 76.44,2,2,0,11.0,,Under Construction,,,76.44,0,0,0,0,0,0,56,449.0
flat,orris carnation residency,sector 85,1.1,6686.93,1645.0,Super Built up area 1645(152.83 sq.m.)Carpet area: 1300 sq.ft. (120.77 sq.m.),3,4,3,6.0,East,Moderately Old,1645.0,,1300.0,0,1,0,0,0,2,65,548.3333333333334
flat,corona optus,sector 37c,1.25,8928.57,1400.0,Super Built up area 1735(161.19 sq.m.)Carpet area: 1400 sq.ft. (130.06 sq.m.),3,3,3,2.0,South-East,Relatively New,1735.0,,1400.0,1,0,0,0,0,0,49,466.6666666666667
